Date,Open,Low,High,Close,Volume,movAvg50,movAvg100,movAvg200
23-Jul-11,56.1,55.1,56.5,55.6,155,58.68,59.407,60.0335
24-Jul-11,56,55.9,56,56,160,58.58,59.375,60.0285
25-Jul-11,56.5,56.3,56.5,56.3,75,58.48,59.342,60.0295
26-Jul-11,56.5,56.5,57,56.8,51,58.39,59.311,60.033
27-Jul-11,55,55,56.8,56,231,58.282,59.281,60.0325
28-Jul-11,56.8,55.4,57,56,135,58.192,59.25,60.023
29-Jul-11,56,56,57.7,56.7,228,58.108,59.228,60.0165
30-Jul-11,56.1,56,56.4,56,95,58.002,59.198,60.0065
31-Jul-11,55.9,55,56,55,189,57.876,59.158,59.9915
1-Aug-11,56,55.6,56.8,55.6,148,57.762,59.128,59.9795
2-Aug-11,55.6,55.6,56.6,56,25,57.664,59.105,59.9695
3-Aug-11,56,55.9,56.6,56.1,121,57.566,59.084,59.9555
4-Aug-11,55.9,55.4,56.1,55.4,130,57.456,59.048,59.938
5-Aug-11,55.6,54,55.6,54,212,57.324,58.998,59.9135
7-Aug-11,52.2,52.2,53.7,52.7,68,57.172,58.936,59.8825
8-Aug-11,52.8,52.2,53.3,52.6,75,57.018,58.867,59.851
9-Aug-11,52.4,50.1,52.4,50.6,461,56.826,58.776,59.8095
10-Aug-11,50.6,50,50.8,50.2,68,56.628,58.689,59.7775
11-Aug-11,50.6,50.2,50.6,50.6,31,56.436,58.601,59.731
12-Aug-11,50.3,49.7,50.7,50.2,210,56.242,58.404,59.6825
13-Aug-11,50.2,49.1,50.2,49.9,279,56.076,58.279,59.6325
14-Aug-11,49.8,49,49.9,49.5,168,55.912,58.155,59.5695
15-Aug-11,49.7,49.5,50.5,50.5,440,55.758,58.055,59.5115
16-Aug-11,50.5,50.4,52.2,52,329,55.646,57.955,59.4615
17-Aug-11,52.1,51.5,52.2,51.5,163,55.556,57.869,59.409
18-Aug-11,51.4,50.5,52,51.4,638,55.444,57.783,59.356
19-Aug-11,51.4,50.8,51.6,50.8,280,55.32,57.692,59.299
20-Aug-11,51.2,48.5,51.4,48.5,351,55.142,57.588,59.2305
21-Aug-11,49.9,48.1,49.9,48.5,69,54.974,57.491,59.162
22-Aug-11,48.5,48.5,49.9,49.4,136,54.822,57.4,59.098
23-Aug-11,49.4,49.4,51,51,277,54.704,57.319,59.053
24-Aug-11,51,49.5,51,50.4,284,54.552,57.237,59.005
25-Aug-11,51,50.4,51.5,50.4,127,54.402,57.152,58.957
26-Aug-11,50.4,50.2,51.9,51,152,54.262,57.063,58.907
27-Aug-11,51,50.9,52,51.8,171,54.15,56.994,58.861
28-Aug-11,50.9,50.8,51.5,50.9,41,53.998,56.909,58.8105
29-Aug-11,51,50.6,51,51,117,53.848,56.816,58.7605
30-Aug-11,51.1,51,52,51.4,372,53.718,56.729,58.7125
31-Aug-11,52,51,52.2,51.4,78,53.588,56.638,58.6705
1-Sep-11,51.7,50.9,51.7,51,29,53.442,56.545,58.6265
2-Sep-11,50.9,49.4,51,49.9,355,53.27,56.433,58.579
3-Sep-11,50,48.6,50.5,50.3,412,53.116,56.315,58.5335
4-Sep-11,49.8,49.5,49.8,49.6,27,52.96,56.201,58.4845
5-Sep-11,49.5,48.9,49.5,48.9,65,52.79,56.084,58.432
6-Sep-11,49.3,49.2,49.5,49.2,80,52.636,55.967,58.378
7-Sep-11,49.2,49.1,49.6,49.5,80,52.494,55.853,58.3255
8-Sep-11,49.6,49.5,51,50.6,356,52.366,55.744,58.2785
9-Sep-11,50.7,49.6,50.8,49.6,196,52.218,55.616,58.2265
10-Sep-11,49.5,49,50,50,251,52.09,55.503,58.1765
11-Sep-11,50.08,49.8,50.4,50,388,51.966,55.387,58.1265
12-Sep-11,50,49.8,50,49.8,256,51.85,55.265,58.0755
13-Sep-11,50,49.8,50.5,50.1,250,51.732,55.156,58.026
14-Sep-11,50,49.4,50.4,49.8,327,51.602,55.041,57.951
15-Sep-11,49.8,47.5,50.3,50.1,1160,51.468,54.929,57.8825
16-Sep-11,49.9,49.4,51.9,50.9,1111,51.366,54.824,57.818
17-Sep-11,50.1,49.8,51.6,50,869,51.246,54.719,57.749
18-Sep-11,49.9,49.9,50,50,222,51.112,54.61,57.68
19-Sep-11,50.1,49.8,50.1,50,209,50.992,54.497,57.6125
20-Sep-11,50.1,49.6,50.1,49.7,261,50.886,54.381,57.543
21-Sep-11,49.6,48.7,50,49.6,296,50.766,54.264,57.471
22-Sep-11,49.6,49,49.8,49,417,50.626,54.145,57.396
23-Sep-11,49.1,48.1,49.5,48.6,381,50.476,54.021,57.3335
24-Sep-11,48.5,45.9,48.6,47.6,307,50.32,53.888,57.266
25-Sep-11,47.3,47.3,48.6,48.6,46,50.212,53.768,57.2035
26-Sep-11,48.4,48,48.5,48.5,40,50.128,53.65,57.1405
27-Sep-11,48.5,47.2,48.7,47.5,257,50.026,53.522,57.064
28-Sep-11,47.9,47.4,47.9,47.4,159,49.962,53.394,56.9875
29-Sep-11,47.5,47.3,47.5,47.3,184,49.904,53.266,56.92
30-Sep-11,47.4,46.5,47.9,46.5,371,49.822,53.129,56.8425
1-Oct-11,47,47,50.6,47.9,1188,49.776,53.009,56.772
2-Oct-11,48,47.6,48,47.6,51,49.73,52.903,56.7
3-Oct-11,47.4,46.9,47.5,47.4,30,49.688,52.8,56.6285
4-Oct-11,47.4,46.5,47.5,46.5,135,49.608,52.683,56.551
5-Oct-11,46.5,45.1,49.6,47,1425,49.508,52.577,56.471
6-Oct-11,46.6,46.5,48,47,593,49.418,52.487,56.391
7-Oct-11,48,45.9,48.8,48,1185,49.35,52.397,56.316
8-Oct-11,47.5,47.1,48,47.2,172,49.278,52.299,56.237
9-Oct-11,47.2,46.9,48,47.6,287,49.26,52.201,56.1695
10-Oct-11,48,47,48,47.5,213,49.24,52.107,56.1015
11-Oct-11,47.5,47.4,48.9,48.9,457,49.23,52.026,56.041
12-Oct-11,48.6,47,48.6,47,658,49.15,51.927,55.971
